run_id	sample_id	sequence_id	mean_depth	coverage_depth	completeness	qc_status	lineage
241217059	24189358	24189358	552.9137700534759	96.52406417112299	99.33990081758478	pass	KP.3.1.1
241217059	24189359	24189359	642.2606951871658	98.93048128342245	99.33996716587932	pass	XEK
241217059	24189360	24189360	338.0233957219251	97.19251336898395	99.33970169264286	pass	KP.3.1.1
241217059	24189361	24189361	70.05347593582887	30.3475935828877	58.324123379885464	fail	MC.1
241217059	24189362	24189362	643.9913101604278	99.19786096256684	99.33322164516669	pass	MC.20
241217059	24189363	24189363	572.3689839572193	99.06417112299465	99.33990081758478	pass	MC.21.1
241217059	24189380	24189380	635.019385026738	99.26470588235294	99.33990081758478	pass	KP.3.1.1
241217059	24189413	24189413	639.2673796791444	99.13101604278076	99.33990081758478	pass	KP.3.1.1
241217059	24189414	24189414	576.5514705882352	99.06417112299465	99.33990081758478	pass	MC.9
241217059	24189415	24189415	0.7393048128342246	0.0	0.0	fail	Unassigned
241217059	24189416	24189416	578.9745989304813	99.06417112299465	99.33645457913705	pass	XEC.2
241217059	24189417	24189417	612.0314171122994	98.99732620320856	99.33990081758478	pass	LP.8
241217059	24189418	24189418	461.17914438502675	98.59625668449198	99.33972382356885	pass	NL.1
241217059	24189419	24189419	596.2887700534759	98.93048128342245	99.33976808097057	pass	LB.1.3.1
241217059	24190760	24190760	577.7332887700535	99.06417112299465	99.33996716587932	pass	XEC
241217059	24190761	24190761	47.481951871657756	16.31016042780749	17.044997991161104	fail	KP.3.1.1
241217059	24190762	24190762	636.2219251336899	99.26470588235294	99.33996716587932	pass	XEC.4
241217059	24190763	24190763	570.9625668449198	98.99732620320856	99.33990081758478	pass	KP.2
241217059	24190764	24190764	278.1236631016043	90.10695187165776	99.17236295402762	pass	MC.21.1
241217059	24190765	24190765	547.5487967914438	99.06417112299465	99.33996716587932	pass	XEC.4
241217059	24190766	24190766	613.9685828877006	99.06417112299465	99.33990081758478	pass	MC.20
241217059	24190767	24190767	586.2426470588235	99.13101604278076	99.33990081758478	pass	MC.13
241217059	24190768	24190768	566.4431818181819	99.06417112299465	99.33990081758478	pass	KP.3.1.1
241217059	24191595	24191595	665.3275401069519	99.13101604278076	99.33990081758478	pass	KP.3.1.1
241217059	24191596	24191596	603.3743315508021	98.93048128342245	99.33970169264286	pass	LP.10.1
241217059	24191597	24191597	0.2727272727272727	0.0	0.0	fail	Unassigned
241217059	24191598	24191598	606.8830213903743	99.06417112299465	99.33996716587932	pass	MV.1
241217059	24191599	24191599	556.4171122994652	98.3288770053476	99.33963529096272	pass	LB.1.3.1
241217059	24191823	24191823	346.05882352941177	97.32620320855615	99.33990081758478	pass	KP.3.1.1
241217059	24191824	24191824	81.1951871657754	24.86631016042781	79.62039299702072	fail	LP.8.1
241217059	24191825	24191825	311.5942513368984	91.37700534759358	99.33990081758478	pass	KP.3.1.1
241217059	24191826	24191826	387.4217914438503	98.86363636363636	99.33996716587932	pass	XEC
241217059	24191827	24191827	648.1209893048128	99.13101604278076	99.33996716587932	pass	XEC
241217059	24191828	24191828	568.0401069518716	99.06417112299465	99.33996716587932	pass	XEC
241217059	24191829	24191829	405.6744652406417	98.66310160427807	99.33996716587932	pass	XEC.4
241217059	24191830	24191830	549.9792780748663	99.06417112299465	99.33990081758478	pass	XDY
241217059	24191831	24191831	5.2032085561497325	1.1363636363636365	3.3775875330234406	fail	KP.3.3
241217059	24191832	24191832	451.4618983957219	98.86363636363636	99.33990081758478	pass	MC.13
241217059	24192686	24192686	638.4298128342245	99.13101604278076	99.33996716587932	pass	XEC.4
241217059	24192687	24192687	629.9752673796792	99.06417112299465	99.33996716587932	pass	KP.3.1.1
241217059	24193487	24193487	599.1784759358288	98.79679144385027	99.33970169264286	pass	MC.11
241217059	24193488	24193488	550.644385026738	99.06417112299465	99.33963529096272	pass	XEK
241217059	24193489	24193489	592.0755347593583	99.06417112299465	99.33990081758478	pass	LP.1
241217059	24193490	24193490	672.4939839572193	99.13101604278076	99.33996716587932	pass	XEC.2
241217059	24193491	24193491	540.9639037433155	98.06149732620321	99.33990081758478	pass	XDY
241217059	24193492	24193492	391.75935828877004	97.79411764705883	99.33990081758478	pass	MC.20
241217059	24193493	24193493	351.98061497326205	89.90641711229947	92.68341708542714	fail	XEC
241217059	24193494	24193494	549.725935828877	98.79679144385027	99.33919227156849	pass	LB.1.3.1
241217059	24193495	24193495	321.38101604278074	82.82085561497327	97.15520707679936	fail	MC.19
241217059	24193496	24193496	257.4217914438503	85.36096256684492	99.20922128401018	fail	MC.21.1
241217059	24193498	24193498	680.4719251336899	99.13101604278076	99.33990081758478	pass	MC.16
241217059	24194020	24194020	549.7252673796792	98.99732620320856	99.33996716587932	pass	XEK
241217059	24194027	24194027	496.6717914438503	98.06149732620321	99.33990081758478	pass	MC.21.1
241217059	24194028	24194028	617.908422459893	99.06417112299465	99.33990081758478	pass	XDY
241217059	24194029	24194029	604.6042780748663	99.06417112299465	99.33990081758478	pass	MC.21.1
241217059	24194576	24194576	586.3763368983957	99.06417112299465	99.33990081758478	pass	KP.3.1.1
241217059	24194577	24194577	489.5701871657754	98.3288770053476	99.33990081758478	pass	MC.13
241217059	24194578	24194578	630.9946524064171	99.06417112299465	99.16647139557459	pass	XEC.4
241217059	24194579	24194579	558.4177807486631	99.06417112299465	99.33996716587932	pass	XEC
241217059	24194580	24194580	598.9752673796792	99.06417112299465	99.33990081758478	pass	MC.9
241217059	24194581	24194581	16.78609625668449	6.885026737967914	7.095759279713487	fail	JN.1.22
241217059	24194582	24194582	587.1985294117648	99.13101604278076	99.33990081758478	pass	MC.10.1
241217059	24194583	24194583	532.1122994652407	99.06417112299465	99.3395688759261	pass	MC.11
241217059	24194584	24194584	595.0340909090909	99.13101604278076	99.33996716587932	pass	XEC
241217059	24194585	24194585	458.2466577540107	90.04010695187165	92.92533413727264	pass	MC.13
241217059	24194586	24194586	632.812834224599	99.06417112299465	99.33990081758478	pass	KP.3.1.1
241217059	24194587	24194587	627.6998663101605	99.13101604278076	99.33990081758478	pass	KP.2
241217059	24194588	24194588	579.8108288770053	98.66310160427807	99.33996716587932	pass	XEC.2
241217059	24194589	24194589	621.2459893048128	99.13101604278076	99.33996716587932	pass	XEC
241217059	24196729	24196729	639.8328877005348	98.99732620320856	99.3395688759261	pass	MC.1
241217059	24196730	24196730	533.6062834224599	98.86363636363636	99.33990081758478	pass	MC.21.1
241217059	24196731	24196731	642.8395721925134	98.99732620320856	99.33976808097057	pass	LB.1.3.1
241217059	24196732	24196732	2.9679144385026737	0.0	0.0	fail	Unassigned
241217059	24196733	24196733	153.97326203208556	48.663101604278076	78.55826885070178	fail	MC.13
241217059	24196997	24196997	631.1096256684492	99.13101604278076	99.33990081758478	pass	MC.21
241217059	24196998	24196998	103.63101604278074	29.27807486631016	60.63366601915734	fail	MV.1
241217059	24196999	24196999	577.6818181818181	99.06417112299465	99.33990081758478	pass	KP.3.1.1
241217059	24197000	24197000	612.2072192513369	99.13101604278076	99.33996716587932	pass	XEC.4
241217059	24197001	24197001	140.39505347593584	39.17112299465241	56.669680833249615	fail	XEC
241217059	24197002	24197002	1.0842245989304813	0.0	0.0	fail	Unassigned
241217059	24197003	24197003	543.355614973262	97.86096256684492	99.33990081758478	pass	KP.2.18
241217059	24197004	24197004	212.94050802139037	64.43850267379679	95.83752937227258	fail	KP.3.3.1
241217059	24197005	24197005	705.2506684491979	99.26470588235294	99.33996716587932	pass	XEC.4
241217059	24197006	24197006	615.6102941176471	98.59625668449198	99.33990081758478	pass	KP.3.1.1
241217059	24197007	24197007	599.3830213903743	98.93048128342245	99.18631127779265	pass	NL.1
241217059	24197008	24197008	624.6938502673797	98.99732620320856	99.33990081758478	pass	KP.3.1.1
241217059	24197009	24197009	669.254679144385	99.19786096256684	99.33990081758478	pass	MC.21.1
241217059	24197010	24197010	619.4866310160428	98.99732620320856	99.33990081758478	pass	KP.3.1.1
